page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
143,715,meitya,Indonesia,Solo traveler,,Stayed 1 night in September 2014,7.0,Very good,Satu malam di Shantika Hotel,"Acaranya sukses, mengunjungi Factory Outlet-factory outlet disekitar jalan Riau hanya dengan berjalan kaki atau naik becak sudah bisa sampai disana. Didepan hotel ada Supermarket dan mall kecil bernama Riau Junction, meskipun kecil tapi lengkap dengan segala yang kita butuhkan. Ada Ann Salon dengan harga yang tidak terlalu mahal kita bisa menikmati produk-produk dari salon tersebut dengan petugas salonnya yang ramah dan sangat membantu.","September 29, 2014"
144,716,hermawan,Indonesia,Couple,,Stayed 1 night in September 2014,6.3,Good,kamar keliatan sdh tua perlu renovasi,biasa aja,"September 29, 2014"
144,717,apep,Indonesia,Couple,,Stayed 1 night in August 2014,8.3,Excellent,"bagus dan strategis, kolam renang saja yang kecil","kamar nyaman dan bersih, tempat strategis, parkir cukup, makanan lokal baik, pelayanan secara umumbaik. pengaturan lampu kamar yang perlu diperbaiki & tidak ada welcome drink.","September 11, 2014"
144,718,Karso,Indonesia,Family with young children,,Stayed 1 night in August 2014,4.3,,"nyaman, bersih",Menyenangkan,"September 02, 2014"
144,719,Lulu,Indonesia,Family with young children,,Stayed 2 nights in August 2014,7.7,Very good,hotel yang cukup nyaman,"cukup menyenangkan, dekat pusat kota","August 20, 2014"
144,720,Ratna,Indonesia,Family with young children,,Stayed 1 night in July 2014,7.7,Very good,Hotel yang nyaman dan bersih.,"Saya sudah 2 kali menginap di Santika Bandung. Karena breakfast-nya beragam dan enak, dekat dengan tempat perbelanjaan, kolam renangnya bersih. Yang kurang dari hotel ini front office yang hanya bisa melayani 2 tamu. Lumayan lama menunggu giliran apa lagi tanpa ada nomor antrian sehingga sempat disela orang yang baru datang. Tidak ada petugas penunggu kolam renang, sehingga sempat kehabisan handuk.","August 15, 2014"
145,721,Tantri,Indonesia,Family with young children,,Stayed 1 night in October 2013,6.3,Good,Great Location,"hotelnya sudah sangat tua, perlu di renovasi dan kebersihan juga harus ditingkatkan. Namun terlepas dari itu, lokasinya sangat strategis, dekat dengan pusat perbelanjaan dan juga kuliner.","August 13, 2014"
145,722,Abi,Indonesia,Family with young children,,Stayed 1 night in August 2014,7.7,Very good,Hotel yang cocok buat transit bersama keluarga,"via Agoda. Saya mendapatkan kamar di dekat kolam renang yg membuat anak-2 senang. Kamar luas dan nyaman, kamar mandi agak kurang penerangan (lampu TL nya). Staff nya ramah banget, ketika saya lupa kartu parkir petugasnya sabar menunggu sampai akhirnya ketemu, administrasi keamanan parkir tercatat dengan baik. Hanya saja, lift ke basement gak bisa dipakai. Selebihnya OK banget.","August 12, 2014"
145,723,Agung,Indonesia,Family with young children,,Stayed 1 night in August 2014,8.7,Excellent,Hotel yang nyaman di pusat kota Bandung,"Menyenangkan, anak-anak menyukainya. Kemungkinan akan kembali menginap disini","August 08, 2014"
145,724,Zein,Indonesia,Family with young children,,Stayed 1 night in July 2014,6.3,Good,Lokasi Strategis,"Hotel dan kamar2nya sudah tua tetapi terawat, parkir terbatas, wifi tersedia, makanan ok seperti biasa. akses semakin sulit karena jalanan sekitarnya semakin padat dan macet.","August 07, 2014"
145,725,citrahapsari,Indonesia,Family with young children,,Stayed 1 night in July 2014,8.0,Excellent,Lokasi strategis,menyenangkan dan ingin kembali menginap dsana lagi,"August 07, 2014"
146,726,PRISANTY,Indonesia,Family with teens,,Stayed 1 night in May 2014,7.0,Very good,hotel yg strategis,"cukup nyaman , lokasi strategis","August 05, 2014"
146,727,devit,Indonesia,Family with young children,,Stayed 1 night in July 2014,7.7,Very good,HOTEL DEKAT PUSAT PERBELANJAAN,"TIDAK ADA YG SPESIAL, HOTEL DEKAT DNG PUSAT PERBELANJAAN, JALAN DISEKITAR HOTEL SELALU MACET, MAKAN PAGI KURANG VARIASI MAKANAN TDK DITAMBAH PADAHAL MASIH JAM 9 PAGI. OVERALL HOTEL INI BIASA SAJA.","July 22, 2014"
146,728,kartasardjono,Indonesia,Family with young children,,Stayed 2 nights in July 2014,6.0,,"bagus & nyaman,","secara umum bagus, semua pelayanan juga ramah","July 17, 2014"
146,729,kartasardjono,Indonesia,Family with young children,,Stayed 2 nights in July 2014,5.7,,tempat tenang dan kamar luas,"secara umum recommended, dan reseptionjuga baik","July 17, 2014"
147,731,Fransisca,Indonesia,Couple,,Stayed 1 night in July 2014,5.3,,Hotel tua dekat dengan FO,"Hotel tua dengan design kamar yang sudah usang, butuh renovasi. Kamar mandi cukup bersih, air panas menyala dengan baik. TV layarnya terlalu kecil, tempat tidur besar namun sudah tidak begitu nyaman. AC berfungsi dengan baik. Free wifi di dalam kamar dengan koneksi yang bagus. Breakfast perlu ditingkatkan baik keragaman, kualitas rasa dan pelayanannya. Jika anda ingin tinggal di hotel ini, saya sarankan bangun lebih pagi untuk sarapan supaya tidak kehabisan. Saya makan bubur ayam hanya dengan cakue dan telur karena pelengkap lainnya habis dan tidak diisi kembali. Pelayannya sangat sedikit dan semua terlihat sibuk sekali sehingga susah untuk dimintai tolong. Bahkan saya tidak ditawarkan teh/kopi sama sekali. Namun lokasi hotel ini strategis sekali bagi tamu yang fokusnya ingin shopping ke factory outlat, karena banyak FO bagus di sepanjang jalan riau dan bisa ditempuh dengan berjalan kaki saja, tidak perlu berurusan dengan kemacetan dan susah cari parkir.","July 08, 2014"
147,733,Kikih,Indonesia,Family with young children,,Stayed 2 nights in June 2014,7.3,Very good,Nice,Kurang peralatannya seperti kotak listrik dan hair drier,"July 03, 2014"
147,734,Jessicha,Indonesia,Family with teens,,Stayed 2 nights in June 2014,8.3,Excellent,Hotel yang bersih dan nyaman,"acara menginap cukup menyenangkan, layanan memadai jika boleh saran : bberapa menu makanan kurang enak rasanya (contoh : mie goreng)","July 03, 2014"
147,735,Nur,Indonesia,Couple,,Stayed 1 night in June 2014,8.0,Excellent,"Bersih, makanan enak dan lokasi strategis",Acara berjalan lancar dan service pegawai hotel sangat memuaskan,"July 01, 2014"
148,736,Roslin,Indonesia,Family with young children,,Stayed 2 nights in June 2014,7.0,Very good,Breakfast nya enak dgn menu yang beragam,Cukup menyenangkan dan nyaman karena anak anak senang lokasinya dekat dgn tempat belanja yang disukai.,"June 21, 2014"
148,737,Haryanto,Indonesia,Business traveler,,Stayed 1 night in May 2014,6.7,Good,cukup menyenangkan,"Ini kali ke 2 saya menginap di hotel ini setelah lebih dari 10 th lalu. Kondisi secara total masih sama, jadi terasa agak jadul. Saay check in saya mendapat upgrade kamar meskipun sebetulnya saya tidak memerlukannya. Kamar saya menghadap ke dalam (pool view) dan bisa melihat/terlihat orang lalu lalang di koridor, sehingga tirai jendela harus selalu tertutup khususnya malam hari. Pilihan menu sarapan lumayan bervariasi.","June 03, 2014"
148,738,novitadewi,Indonesia,Family with teens,,Stayed 4 nights in May 2014,6.7,Good,nyaman dan menyenangkan,sangat menyenangkan,"May 16, 2014"
148,739,yudhistira,Indonesia,Solo traveler,,Stayed 1 night in April 2014,7.7,Very good,hotel yg pas untuk pecinta belanja krn stategis,Dilayani dengan sangat baik dan memuaskan,"April 29, 2014"
148,740,Tantri,Australia,Family with teens,,Stayed 1 night in April 2014,8.0,Excellent,Hotel dengan lokasi strategis,"Memilih kamar deluxe dan menambah extra bed, staff ramah, buffet sarapan menunya variatif, lokasi strategis dan di pinggir jalan. Bagi yang ingin menggunakan public transport sangat mudah. Namun kondisi hotel sudah tidak terlalu cemerlang, namun tetap dijaga kerapihannya.","April 21, 2014"
