page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
129,1286,Yullia,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2026,9.6,Exceptional,Sabtu ceria,"Over all bagus, makanan enak, lokasi sangat strategis. Tolong sediakan hair dryer di kamar biar tambah baik kualitas hotelnya",16-Apr-26
129,1287,Latifah,Indonesia,Family with teens,Deluxe Room Queen,Stayed 1 night in February 2026,10,Exceptional,Rekomendasi staycation yang nyaman,"Kamar bersih dan terawat, staff yang ramah, akses ke mall lebih mudah, menu breakfast yang bervariasi dan enak enak, 🫶🏼",17-Feb-26
129,1288,Novita,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in May 2025,10,Exceptional,Terbaikk,"Hotel yang sangat nyaman, berada ditengah kota, dibawahnya ada mall, kalau mau jogging tinggal nyebrang ke kebun raya Bogor. Kamarnya sangat luas, bersih, rapih. Pokoknya the bestt😍",29-Sep-25
129,1289,Mohammad,Singapore,Couple,Executive Room,Stayed 7 nights in April 2026,10,Exceptional,Staycation,Nothing to say. Everything is superb. Been staying here for so many times the standard and cleaniness is superb. Location is good and connected to the mall.,20-Apr-26
129,1290,Abdika,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2025,8.8,Excellent,Good and comfy stay,"Rating: 4/5 The room was a bit old but overall okay—clean and well-maintained. The bathroom, especially the shower, worked just fine. Food was decent, nothing special but acceptable. What really stood out was the service. All the staff were kind, warm, and very helpful throughout our stay. One unique perk was the exclusive access to Botani Square, which was a nice touch. The only downside was the lobby. It felt quite small and didn't give off an exclusive or premium vibe, which could be improved. Overall, a comfortable stay with great service!",17-Apr-25
130,1291,Yahya,Malaysia,Business traveler,,Stayed 2 nights in January 2011,8.7,Excellent,Lovely hotel,had a great stay everytime i come to bogor. good location and very friendly staff.,7-Feb-11
130,1292,Pertiwi,Indonesia,Family with young children,Superior Room Queen,Stayed 1 night in January 2024,9.6,Exceptional,Exceptional,"Untuk keseluruhan ok banget dari kebersihan kamar , pelayanan staff check in ataupun Check Out sangat membantu customer sekali dan check in on time keren sekali😇, Tapi ada yg disayangkan untuk staff resto tolong jujur dalam penyampaian ke customer bahwa mngenai antrian breakfast (sarapan pagi) knpa saya dibelankangi sdgkan antrian saya lebih dahulu dibandingkan antrian org setelah saya dan ketika sya bertanya knpa org tersebut didahulukan jawaban dri staff ( Mereka sudah pesan diawal ) wow sejak kapan bisa pesan diawal untuk antrian umum kecuali ( mereka dri Salah satu PT Atau Apa Dinas ), setelah sya complain bru sy di ijinkan masuk dan dikasih dipaling pojok sempit masyaallah setelah sy complain lagi dgn kpla resto dan sya memutuskan untuk keluar ( baru sya diberikan tempat yg layak) tolong untuk staff resto jgn dibanding""kan customer semua sama saja, ( punya hak yg sama) , terimakasih.",28-Jan-24
130,1293,Laurencia,Indonesia,Couple,Superior Room Twin,Stayed 1 night in January 2024,10,Exceptional,Exceptional,Hampir setiap bulan staycation di Hotel Santika Bogor. Selalu puas dengan pelayanannya oleh seluruh staf mulai dari pintu masuk hari pertama check in sampai check out lagi. Breakfast selalu enak dengan variasi menu setiap hari. Kamar sangat bersih. Bulan depan saya akan kembali menginap di hotel ini.,11-Jan-24
130,1294,Cheirrina,Indonesia,Family with teens,Superior Room Queen,Stayed 2 nights in January 2024,10,Exceptional,Puas dan staf ramah,"Menyenangkan, staf ramah dan breakfast nya enak dgn variasi menu yg cukup banyak. Semua bersih dan kamar selalu harum..tp sayangnya nginap 2 malam dgn 3 kamar akses card nya hrs sy update 2x ke resepsionisnya ...mkn hrsnya ga usah repot2 lg yaa ..itu aja..ovel all ok2 aja",4-Jan-24
130,1295,Ang,Indonesia,Family with teens,Superior Room Queen,Stayed 1 night in December 2023,9.6,Exceptional,Kesiapan kamar cek in,Awal kami DTG jam 13.00. alasan kamar belum siap karena blm jam 14.00. kami tunggu hingga jam 15.30 kamar baru siap. Sebenarnya kan tamu cek out jam 12. Masa dengan waktu 2 jam ga selesai bersihin kamar. Akhirnya saya protes dan sy minta cekout nanti jam 2. Dan mrk sampaikan ke management dan di perbolehkan. Utk kamar bersih dan sarapan bervariatif. Dan CS nya yg perempuan tolong di training masalah tiket parkir. Masa setiap harus keluar musti stempel di lobby. Sy bilang kan no plat tinggal di daftarin di komputer jadi tamu ga perlu stempel setiap mau keluar parkir. Akhir baru mengerti dan plat di daftarin. Tamu jadi bebas keluar masuk parkiran. Terima kasih,27-Dec-23
130,1296,Yullia,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2026,9.6,Exceptional,Sabtu ceria,"Over all bagus, makanan enak, lokasi sangat strategis. Tolong sediakan hair dryer di kamar biar tambah baik kualitas hotelnya",16-Apr-26
130,1297,Latifah,Indonesia,Family with teens,Deluxe Room Queen,Stayed 1 night in February 2026,10,Exceptional,Rekomendasi staycation yang nyaman,"Kamar bersih dan terawat, staff yang ramah, akses ke mall lebih mudah, menu breakfast yang bervariasi dan enak enak, 🫶🏼",17-Feb-26
130,1298,Novita,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in May 2025,10,Exceptional,Terbaikk,"Hotel yang sangat nyaman, berada ditengah kota, dibawahnya ada mall, kalau mau jogging tinggal nyebrang ke kebun raya Bogor. Kamarnya sangat luas, bersih, rapih. Pokoknya the bestt😍",29-Sep-25
130,1299,Mohammad,Singapore,Couple,Executive Room,Stayed 7 nights in April 2026,10,Exceptional,Staycation,Nothing to say. Everything is superb. Been staying here for so many times the standard and cleaniness is superb. Location is good and connected to the mall.,20-Apr-26
130,1300,Abdika,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2025,8.8,Excellent,Good and comfy stay,"Rating: 4/5 The room was a bit old but overall okay—clean and well-maintained. The bathroom, especially the shower, worked just fine. Food was decent, nothing special but acceptable. What really stood out was the service. All the staff were kind, warm, and very helpful throughout our stay. One unique perk was the exclusive access to Botani Square, which was a nice touch. The only downside was the lobby. It felt quite small and didn't give off an exclusive or premium vibe, which could be improved. Overall, a comfortable stay with great service!",17-Apr-25
131,1301,Andrian,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in September 2021,10,Exceptional,Exceptional,Nice place,5-Sep-21
131,1302,Julie,France,Family with young children,,Stayed 2 nights in September 2015,7,Very good,assez bien,Pas mal mais j'ai trouvé la piscine trop animée pendant le week end et pas propre ainsi que les toilettes publiques.,28-Sep-15
131,1303,Damien,France,Couple,,Stayed 1 night in May 2012,5.3,,ok...un peu decevant,"l'hotel m'a tout d'abord attirbue une chambre fumeur qui sentait le cendrier, j'ai du beaucoup insister pour avoir une chambre non fumeur...les chambres sont males isolees phonetiquement.",31-May-12
131,1304,Philipp,Austria,Business traveler,Deluxe Room Queen,Stayed 8 nights in June 2024,7.6,Very good,Empfehlenswert,"Gute Lage zum Erkunden von Bogor, direkte Anbindung an Botani Mall. Frühstück abwechslungsreich.",7-Jul-24
131,1305,Andreas,Germany,Couple,Superior Room Twin,Stayed 1 night in December 2024,10,Exceptional,Quick trip to BOGOR,"Hotel , clean, nice and spacious rooms, centrally located, fast wifi.",16-Dec-24
131,1306,Yullia,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2026,9.6,Exceptional,Sabtu ceria,"Over all bagus, makanan enak, lokasi sangat strategis. Tolong sediakan hair dryer di kamar biar tambah baik kualitas hotelnya",16-Apr-26
131,1307,Latifah,Indonesia,Family with teens,Deluxe Room Queen,Stayed 1 night in February 2026,10,Exceptional,Rekomendasi staycation yang nyaman,"Kamar bersih dan terawat, staff yang ramah, akses ke mall lebih mudah, menu breakfast yang bervariasi dan enak enak, 🫶🏼",17-Feb-26
131,1308,Novita,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in May 2025,10,Exceptional,Terbaikk,"Hotel yang sangat nyaman, berada ditengah kota, dibawahnya ada mall, kalau mau jogging tinggal nyebrang ke kebun raya Bogor. Kamarnya sangat luas, bersih, rapih. Pokoknya the bestt😍",29-Sep-25
131,1309,Mohammad,Singapore,Couple,Executive Room,Stayed 7 nights in April 2026,10,Exceptional,Staycation,Nothing to say. Everything is superb. Been staying here for so many times the standard and cleaniness is superb. Location is good and connected to the mall.,20-Apr-26
131,1310,Abdika,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2025,8.8,Excellent,Good and comfy stay,"Rating: 4/5 The room was a bit old but overall okay—clean and well-maintained. The bathroom, especially the shower, worked just fine. Food was decent, nothing special but acceptable. What really stood out was the service. All the staff were kind, warm, and very helpful throughout our stay. One unique perk was the exclusive access to Botani Square, which was a nice touch. The only downside was the lobby. It felt quite small and didn't give off an exclusive or premium vibe, which could be improved. Overall, a comfortable stay with great service!",17-Apr-25
132,1311,Eberhard,Germany,Solo traveler,,Stayed 2 nights in September 2015,8.3,Excellent,"Zentrale Lage, sehr gutes Hotel",,25-Sep-15
132,1312,Schauer,Germany,Couple,,Stayed 1 night in February 2015,7,Very good,"Einfacher Standard, sauber","Gutes Preis Leistungsverhältnis, einfache Ausstattung, freundliches Personal, neues Hotel, wirklich nur 3 Sterne, Zugang zum Hotel und Parkplatzsuche in der Tiefgarage am Wochenende nicht ganz einfach",26-Feb-15
132,1313,Linda,Germany,Couple,,Stayed 1 night in July 2013,9.7,Exceptional,Großartiges Hotel in bester Lage,,8-Aug-13
132,1314,Christoph,Germany,Business traveler,,Stayed 4 nights in February 2012,9,Exceptional,"Modernes Hotel, zweckmäßige und gute Ausstattung","ausgesprochen freundliches und entgegenkommes personal, das uns nach 3 tagen bereits mit namen kannte. gutes restaurant - wenn auch etwas auf der teureren seite. die nähe zum berühmten botanischen garten (10 minteun zu fuß) ist ein besonderer vorteil des hotels, wenn man sich dafür interessiert. das hotel ist unmittelbar verbunden mit einem großen tagungszentrum und einem großen einkaufszentrum - im grunde ist alles verfügbar, was man braucht.",6-Mar-12
132,1315,Christoph,Germany,Business traveler,,Stayed 1 night in May 2011,9.7,Exceptional,Modernes neues Hotel und guter Lage,"Insgesamt absolut reibungslose Abläufe, sehr gutes Preis-Leistungsverhältnis",3-Jun-11
132,1316,Yullia,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2026,9.6,Exceptional,Sabtu ceria,"Over all bagus, makanan enak, lokasi sangat strategis. Tolong sediakan hair dryer di kamar biar tambah baik kualitas hotelnya",16-Apr-26
132,1317,Latifah,Indonesia,Family with teens,Deluxe Room Queen,Stayed 1 night in February 2026,10,Exceptional,Rekomendasi staycation yang nyaman,"Kamar bersih dan terawat, staff yang ramah, akses ke mall lebih mudah, menu breakfast yang bervariasi dan enak enak, 🫶🏼",17-Feb-26
132,1318,Novita,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in May 2025,10,Exceptional,Terbaikk,"Hotel yang sangat nyaman, berada ditengah kota, dibawahnya ada mall, kalau mau jogging tinggal nyebrang ke kebun raya Bogor. Kamarnya sangat luas, bersih, rapih. Pokoknya the bestt😍",29-Sep-25
132,1319,Mohammad,Singapore,Couple,Executive Room,Stayed 7 nights in April 2026,10,Exceptional,Staycation,Nothing to say. Everything is superb. Been staying here for so many times the standard and cleaniness is superb. Location is good and connected to the mall.,20-Apr-26
132,1320,Abdika,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2025,8.8,Excellent,Good and comfy stay,"Rating: 4/5 The room was a bit old but overall okay—clean and well-maintained. The bathroom, especially the shower, worked just fine. Food was decent, nothing special but acceptable. What really stood out was the service. All the staff were kind, warm, and very helpful throughout our stay. One unique perk was the exclusive access to Botani Square, which was a nice touch. The only downside was the lobby. It felt quite small and didn't give off an exclusive or premium vibe, which could be improved. Overall, a comfortable stay with great service!",17-Apr-25
133,1321,Dessy,Netherlands,Couple,Executive Queen,Stayed 2 nights in January 2025,9.2,Exceptional,Exceptional,Goed ontbijt zwembad winkels in onder het hotel super schoon gewoon mooi,24-Jan-25
133,1322,Norman,Netherlands,Couple,Executive Queen,Stayed 5 nights in October 2023,10,Exceptional,Dikke plus voor Santika,Santika was ons door een ander aanbevolen. Wij hebben hier genoten en hebben alleen maar positieve ervaringen met dit hotel. Personeel buitengewoon vriendelijke.,28-Oct-23
133,1323,Ferry,Netherlands,Solo traveler,,Stayed 4 nights in March 2015,10,Exceptional,prima hotel zeker voor herhaling waard,Uitstekend,30-Mar-15
133,1324,Justus,Netherlands,Family with teens,,Stayed 2 nights in July 2013,8.7,Excellent,Goed hotel in een toch drukke stad,"Vanaf het vliegveld in Jakarta zijn we in e e n keer door gegaan naar Bogor en daar wachtte de Santika op ons. Een goed gelegen en wel geoutilleerd hotel op gunstige afstand van de botanische tuinen. Mooie kamer, goede bedden, erg aardig personeel en een heerlijk zwembad. Precies wat je nodig hebt na 15 uur vliegen.",14-Aug-13
133,1325,Peter,Netherlands,Couple,,Stayed 3 nights in July 2013,10,Exceptional,Prettig en confortabel,"Confortabel, aangenaam en relax, herhalingvatbaar.",28-Jul-13
