page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
39,384,Rido,Indonesia,Family with young children,Superior Twin,Stayed 1 night in July 2022,2.0,,Tertinggal Topi & Sajadah,"Says Rido. . Room 401 dan 402. Tertinggal Topi Uniqlo dan Sajadah Buttonscrave. No one from hotel konfirm mengenai ini. Jujur, disappointed..","July 09, 2022"
39,385,didik,Indonesia,Family with young children,Superior Twin,Stayed 1 night in December 2021,8.8,Excellent,Good place to stay,"Good location, good price","June 30, 2022"
39,386,Inne,Indonesia,Family with teens,Superior Twin,Stayed 1 night in January 2025,9.6,Exceptional,Nyamannya menginap di Santika Hotel Cirebon,"Lokasi hotel ditengah kota sangat strategis, dekat dengan pusat perbelanjaan, rumah sakit, transportasi umum, perkantoran. Kebersihannya terjaga dengan baik. Fasilitas kamar cukup lengkap : shower air panas & dingin, toiletries, mini bar, notes & pinsil. Fasilitas hotel cukup lengkap : gym, kolam renang, resto, wifi, tempat parkir luas. Keistimewaan yg berbeda dgn hotel lain, setiap pagi mobil kami sudah kinclong dibersihkan oleh staf hotel 👍🏻👏🏻 Ini kali kedua kami menginap di Santika Hotel Cirebon. Saran : varian menu makanan sarapan pagi tolong ditambah 😊 Terimakasih","January 24, 2025"
39,387,achyar,Indonesia,Family with young children,Superior Twin,Stayed 1 night in September 2025,8.8,Excellent,Excellent,"Lokasi berdekatan lokasi perkantoran kota cirebon, kamar luas dengan cukup bersih. Kolam renang bersih dengan disediakan handuk. Staf sangat ramah dan menunjukkan inisiatif untuk membantu terutama yg bertugas di kolam renang dan kebun/ taman sekitar kolam. Untuk makanan biasa saja.","September 15, 2025"
39,388,Inne,Indonesia,Business traveler,Superior Twin,Stayed 1 night in January 2025,8.8,Excellent,"Hotel dgn lokasi, fasilitas dan pelayanan memuaskan","Hotel dengan lokasi ditengah kota Cirebon dengan fasilitas lengkap dan pelayanan yg baik, staff yg ramah dan helpfull, membuat perjalanan bisnis menjadi menyenangkan. Kamarnya nyaman, toiletries cukup lengkap, menu breakfast beragam dan rasanya lezat. Terimakasih Hotel Santika Cirebon 🙏🏻","January 14, 2025"
39,389,Sahid,Indonesia,Group,Superior Twin,Stayed 1 night in October 2025,10.0,Exceptional,Exceptional,Tempat yg nyaman buat istirahat saya dn keluarga ketika ke kota Cirebon apalagi kolam renangnya luas dn bersih,"October 14, 2025"
39,390,Maemunah,Indonesia,Family with young children,Superior Twin,Stayed 2 nights in June 2025,9.6,Exceptional,Liburan Mengesankan,"Disambut dengan staf yg ramah dan pelayanan yg baik, kamarnya bersih, fasilitas lainnya lengkap (resto, kolam renang anak dan dewasa, tempat fitness)… next time bisa nginep lagi…","June 15, 2025"
40,391,AP,Indonesia,Family with young children,Deluxe King,Stayed 1 night in June 2022,7.6,Very good,Okay,Just an average hotel...the hotel is quite old but the service is quite okay,"June 30, 2022"
40,392,Vera,Indonesia,Family with teens,Deluxe King,Stayed 2 nights in June 2022,8.8,Excellent,Old hotel but has a good maintenance,"After 10 years we choose santika again, anf it is still good, they upgrade our room. Maybe they should clean the sofa from spot of dirt. Swimming pool quite big and has a deep spot. Just input for their breakfast, need more improvement, escp the main course. But overall is ok. We will back here next time","June 29, 2022"
40,393,David,Indonesia,Business traveler,Superior Twin,Stayed 1 night in June 2022,5.6,,Nothing,Old hotel,"June 13, 2022"
40,394,Tan,Indonesia,Couple,Superior Twin,Stayed 1 night in March 2022,7.6,Very good,It's good,The hotel is old but still clean,"June 01, 2022"
40,395,Novita,Indonesia,Family with young children,Superior Twin,Stayed 2 nights in May 2022,8.8,Excellent,Review Hotel Santika Cirebon,Good facilities.. Good services👍🤩,"May 28, 2022"
40,396,Inne,Indonesia,Family with teens,Superior Twin,Stayed 1 night in January 2025,9.6,Exceptional,Nyamannya menginap di Santika Hotel Cirebon,"Lokasi hotel ditengah kota sangat strategis, dekat dengan pusat perbelanjaan, rumah sakit, transportasi umum, perkantoran. Kebersihannya terjaga dengan baik. Fasilitas kamar cukup lengkap : shower air panas & dingin, toiletries, mini bar, notes & pinsil. Fasilitas hotel cukup lengkap : gym, kolam renang, resto, wifi, tempat parkir luas. Keistimewaan yg berbeda dgn hotel lain, setiap pagi mobil kami sudah kinclong dibersihkan oleh staf hotel 👍🏻👏🏻 Ini kali kedua kami menginap di Santika Hotel Cirebon. Saran : varian menu makanan sarapan pagi tolong ditambah 😊 Terimakasih","January 24, 2025"
40,397,achyar,Indonesia,Family with young children,Superior Twin,Stayed 1 night in September 2025,8.8,Excellent,Excellent,"Lokasi berdekatan lokasi perkantoran kota cirebon, kamar luas dengan cukup bersih. Kolam renang bersih dengan disediakan handuk. Staf sangat ramah dan menunjukkan inisiatif untuk membantu terutama yg bertugas di kolam renang dan kebun/ taman sekitar kolam. Untuk makanan biasa saja.","September 15, 2025"
40,398,Inne,Indonesia,Business traveler,Superior Twin,Stayed 1 night in January 2025,8.8,Excellent,"Hotel dgn lokasi, fasilitas dan pelayanan memuaskan","Hotel dengan lokasi ditengah kota Cirebon dengan fasilitas lengkap dan pelayanan yg baik, staff yg ramah dan helpfull, membuat perjalanan bisnis menjadi menyenangkan. Kamarnya nyaman, toiletries cukup lengkap, menu breakfast beragam dan rasanya lezat. Terimakasih Hotel Santika Cirebon 🙏🏻","January 14, 2025"
40,399,Sahid,Indonesia,Group,Superior Twin,Stayed 1 night in October 2025,10.0,Exceptional,Exceptional,Tempat yg nyaman buat istirahat saya dn keluarga ketika ke kota Cirebon apalagi kolam renangnya luas dn bersih,"October 14, 2025"
40,400,Maemunah,Indonesia,Family with young children,Superior Twin,Stayed 2 nights in June 2025,9.6,Exceptional,Liburan Mengesankan,"Disambut dengan staf yg ramah dan pelayanan yg baik, kamarnya bersih, fasilitas lainnya lengkap (resto, kolam renang anak dan dewasa, tempat fitness)… next time bisa nginep lagi…","June 15, 2025"
41,401,LUD,Indonesia,Family with young children,Deluxe King,Stayed 1 night in May 2022,9.6,Exceptional,Exceptional,So Far ok,"May 13, 2022"
41,402,Mahargianto,Indonesia,Family with young children,Superior Twin,Stayed 1 night in May 2022,10.0,Exceptional,Best of Hotel in Cirebon,"In my opinion, this is the best hotel in Cirebon City, there is a large parking area, when it is full there is no need to park on the side of the road. Good breakfast and traditional Cirebon food available. The location of this hotel is close to the center of Cirebon City","May 07, 2022"
41,403,Ronald,Indonesia,Family with young children,Superior Twin,Stayed 1 night in May 2022,9.2,Exceptional,Overall good,"Overall, good experience staying here 1 night.","May 04, 2022"
41,404,Muchamad,Indonesia,Solo traveler,Superior Twin,Stayed 3 nights in December 2021,8.0,Excellent,Very good,Affordable with decent facilities,"February 01, 2022"
41,405,Denny,Indonesia,Couple,Superior Twin,Stayed 1 night in December 2021,9.2,Exceptional,To Keep good need to Re-maintain Facilities,"This hotel is very good for resting with family compared to a minimalist hotel. this hotel is much more comfortable. but because it is old, the furniture should be made fresh again. Suggestion: The toilet in the lobby should be renovated immediately.","December 29, 2021"
41,406,Inne,Indonesia,Family with teens,Superior Twin,Stayed 1 night in January 2025,9.6,Exceptional,Nyamannya menginap di Santika Hotel Cirebon,"Lokasi hotel ditengah kota sangat strategis, dekat dengan pusat perbelanjaan, rumah sakit, transportasi umum, perkantoran. Kebersihannya terjaga dengan baik. Fasilitas kamar cukup lengkap : shower air panas & dingin, toiletries, mini bar, notes & pinsil. Fasilitas hotel cukup lengkap : gym, kolam renang, resto, wifi, tempat parkir luas. Keistimewaan yg berbeda dgn hotel lain, setiap pagi mobil kami sudah kinclong dibersihkan oleh staf hotel 👍🏻👏🏻 Ini kali kedua kami menginap di Santika Hotel Cirebon. Saran : varian menu makanan sarapan pagi tolong ditambah 😊 Terimakasih","January 24, 2025"
41,407,achyar,Indonesia,Family with young children,Superior Twin,Stayed 1 night in September 2025,8.8,Excellent,Excellent,"Lokasi berdekatan lokasi perkantoran kota cirebon, kamar luas dengan cukup bersih. Kolam renang bersih dengan disediakan handuk. Staf sangat ramah dan menunjukkan inisiatif untuk membantu terutama yg bertugas di kolam renang dan kebun/ taman sekitar kolam. Untuk makanan biasa saja.","September 15, 2025"
41,408,Inne,Indonesia,Business traveler,Superior Twin,Stayed 1 night in January 2025,8.8,Excellent,"Hotel dgn lokasi, fasilitas dan pelayanan memuaskan","Hotel dengan lokasi ditengah kota Cirebon dengan fasilitas lengkap dan pelayanan yg baik, staff yg ramah dan helpfull, membuat perjalanan bisnis menjadi menyenangkan. Kamarnya nyaman, toiletries cukup lengkap, menu breakfast beragam dan rasanya lezat. Terimakasih Hotel Santika Cirebon 🙏🏻","January 14, 2025"
41,409,Sahid,Indonesia,Group,Superior Twin,Stayed 1 night in October 2025,10.0,Exceptional,Exceptional,Tempat yg nyaman buat istirahat saya dn keluarga ketika ke kota Cirebon apalagi kolam renangnya luas dn bersih,"October 14, 2025"
41,410,Maemunah,Indonesia,Family with young children,Superior Twin,Stayed 2 nights in June 2025,9.6,Exceptional,Liburan Mengesankan,"Disambut dengan staf yg ramah dan pelayanan yg baik, kamarnya bersih, fasilitas lainnya lengkap (resto, kolam renang anak dan dewasa, tempat fitness)… next time bisa nginep lagi…","June 15, 2025"
42,411,Rossi,Indonesia,Family with young children,Superior Twin,Stayed 1 night in December 2021,10.0,Exceptional,Exceptional,Recomended for staycation with children,"December 10, 2021"
42,412,Oceany,Indonesia,Family with teens,Superior Twin,Stayed 1 night in June 2021,10.0,Exceptional,Recommended,"Good for family vacation, especially if You going with elderly.","June 20, 2021"
42,413,Yulianti,Indonesia,Family with teens,Superior Twin,Stayed 1 night in April 2021,8.0,Excellent,Hotel with good food and location,Hotel with good food and location,"April 19, 2021"
42,414,Yulianti,Indonesia,Family with teens,,Stayed 1 night in April 2021,8.0,Excellent,Hotel with good food and location,Hotel with good food and location,"April 19, 2021"
42,415,karisma,Indonesia,Family with young children,,Stayed 1 night in March 2021,10.0,Exceptional,nice and kind,"the staff is very nice and kind. The breakfast choice is not so much, maybe because of pandemic, but when we ordered dinner the food was very good. overall we satisfied staying the night at this hotel.","March 16, 2021"
42,416,Inne,Indonesia,Family with teens,Superior Twin,Stayed 1 night in January 2025,9.6,Exceptional,Nyamannya menginap di Santika Hotel Cirebon,"Lokasi hotel ditengah kota sangat strategis, dekat dengan pusat perbelanjaan, rumah sakit, transportasi umum, perkantoran. Kebersihannya terjaga dengan baik. Fasilitas kamar cukup lengkap : shower air panas & dingin, toiletries, mini bar, notes & pinsil. Fasilitas hotel cukup lengkap : gym, kolam renang, resto, wifi, tempat parkir luas. Keistimewaan yg berbeda dgn hotel lain, setiap pagi mobil kami sudah kinclong dibersihkan oleh staf hotel 👍🏻👏🏻 Ini kali kedua kami menginap di Santika Hotel Cirebon. Saran : varian menu makanan sarapan pagi tolong ditambah 😊 Terimakasih","January 24, 2025"
42,417,achyar,Indonesia,Family with young children,Superior Twin,Stayed 1 night in September 2025,8.8,Excellent,Excellent,"Lokasi berdekatan lokasi perkantoran kota cirebon, kamar luas dengan cukup bersih. Kolam renang bersih dengan disediakan handuk. Staf sangat ramah dan menunjukkan inisiatif untuk membantu terutama yg bertugas di kolam renang dan kebun/ taman sekitar kolam. Untuk makanan biasa saja.","September 15, 2025"
42,418,Inne,Indonesia,Business traveler,Superior Twin,Stayed 1 night in January 2025,8.8,Excellent,"Hotel dgn lokasi, fasilitas dan pelayanan memuaskan","Hotel dengan lokasi ditengah kota Cirebon dengan fasilitas lengkap dan pelayanan yg baik, staff yg ramah dan helpfull, membuat perjalanan bisnis menjadi menyenangkan. Kamarnya nyaman, toiletries cukup lengkap, menu breakfast beragam dan rasanya lezat. Terimakasih Hotel Santika Cirebon 🙏🏻","January 14, 2025"
42,419,Sahid,Indonesia,Group,Superior Twin,Stayed 1 night in October 2025,10.0,Exceptional,Exceptional,Tempat yg nyaman buat istirahat saya dn keluarga ketika ke kota Cirebon apalagi kolam renangnya luas dn bersih,"October 14, 2025"
42,420,Maemunah,Indonesia,Family with young children,Superior Twin,Stayed 2 nights in June 2025,9.6,Exceptional,Liburan Mengesankan,"Disambut dengan staf yg ramah dan pelayanan yg baik, kamarnya bersih, fasilitas lainnya lengkap (resto, kolam renang anak dan dewasa, tempat fitness)… next time bisa nginep lagi…","June 15, 2025"
43,421,Anatasia,Indonesia,Couple,Room Assigned on Arrival,Stayed 1 night in February 2021,8.0,Excellent,"Good place, clean and great romantic valentine dinner","Good place, clean and great romantic valentine dinner","February 19, 2021"
43,422,Anna,Indonesia,Solo traveler,,Stayed 2 nights in February 2021,9.6,Exceptional,Hotel Santika Cirebon,I loved my stay in Santika Hotel. The staffs were so accommodating and helpful. My room is clean and disinfected. I particularly enjoyed my me time at the pool every night. The foods were delicious. I would definitely go back.,"February 16, 2021"
43,423,Budi,Indonesia,Family with teens,,Stayed 1 night in February 2021,9.6,Exceptional,Light,Minus only in lighting. Not bright enough,"February 16, 2021"
43,424,neti,Indonesia,Family with young children,Superior Twin,Stayed 1 night in January 2021,6.8,Good,One night stay,"Ok, hotel look a bit old. But ok. There’s a guy doing car service and that is big help.","January 09, 2021"
43,425,Amarrarudin,United States,Business traveler,Superior Twin,Stayed 1 night in December 2020,10.0,Exceptional,good,awesome,"January 01, 2021"
43,426,Inne,Indonesia,Family with teens,Superior Twin,Stayed 1 night in January 2025,9.6,Exceptional,Nyamannya menginap di Santika Hotel Cirebon,"Lokasi hotel ditengah kota sangat strategis, dekat dengan pusat perbelanjaan, rumah sakit, transportasi umum, perkantoran. Kebersihannya terjaga dengan baik. Fasilitas kamar cukup lengkap : shower air panas & dingin, toiletries, mini bar, notes & pinsil. Fasilitas hotel cukup lengkap : gym, kolam renang, resto, wifi, tempat parkir luas. Keistimewaan yg berbeda dgn hotel lain, setiap pagi mobil kami sudah kinclong dibersihkan oleh staf hotel 👍🏻👏🏻 Ini kali kedua kami menginap di Santika Hotel Cirebon. Saran : varian menu makanan sarapan pagi tolong ditambah 😊 Terimakasih","January 24, 2025"
43,427,achyar,Indonesia,Family with young children,Superior Twin,Stayed 1 night in September 2025,8.8,Excellent,Excellent,"Lokasi berdekatan lokasi perkantoran kota cirebon, kamar luas dengan cukup bersih. Kolam renang bersih dengan disediakan handuk. Staf sangat ramah dan menunjukkan inisiatif untuk membantu terutama yg bertugas di kolam renang dan kebun/ taman sekitar kolam. Untuk makanan biasa saja.","September 15, 2025"
43,428,Inne,Indonesia,Business traveler,Superior Twin,Stayed 1 night in January 2025,8.8,Excellent,"Hotel dgn lokasi, fasilitas dan pelayanan memuaskan","Hotel dengan lokasi ditengah kota Cirebon dengan fasilitas lengkap dan pelayanan yg baik, staff yg ramah dan helpfull, membuat perjalanan bisnis menjadi menyenangkan. Kamarnya nyaman, toiletries cukup lengkap, menu breakfast beragam dan rasanya lezat. Terimakasih Hotel Santika Cirebon 🙏🏻","January 14, 2025"
43,429,Sahid,Indonesia,Group,Superior Twin,Stayed 1 night in October 2025,10.0,Exceptional,Exceptional,Tempat yg nyaman buat istirahat saya dn keluarga ketika ke kota Cirebon apalagi kolam renangnya luas dn bersih,"October 14, 2025"
43,430,Maemunah,Indonesia,Family with young children,Superior Twin,Stayed 2 nights in June 2025,9.6,Exceptional,Liburan Mengesankan,"Disambut dengan staf yg ramah dan pelayanan yg baik, kamarnya bersih, fasilitas lainnya lengkap (resto, kolam renang anak dan dewasa, tempat fitness)… next time bisa nginep lagi…","June 15, 2025"
44,431,Izmi,Indonesia,Couple,Superior Twin,Stayed 1 night in October 2020,10.0,Exceptional,Nice hotel,"The hotel is nice, good swimming pool, and the staff is friendly and helpful. I would love to stay in Santika Hotel Cirebon again if I travel to Cirebon next time.","November 18, 2020"
44,432,Defi,Indonesia,Family with teens,,Stayed 3 nights in October 2020,6.8,Good,Lack of maintenance,"Below my expectation...i used to like stayed at santika but its gettin old, my a.c room was very noisy and the wifi's very bad also the floor was dirty under the table etc..full of dust, but i still recommend this hotel for the location","November 01, 2020"
44,433,Uli,Indonesia,Solo traveler,,Stayed 1 night in October 2020,7.2,Very good,Below expectation,"Room 405 where I stayed was not squeaky clean. The aircon outlet was dirty. Traces of moved bedpost on the wall. Only one nightstand despite the double bed.. All furniture was dented a lot everywhere. Cracked basin in the bathroom. Swimming pool was out of service. Breakfast was far from delicious. COVID-19 protocol in place though: hand sanitizer (at the lobby entrance, receptionist table and lifts), plastic packed towels in the bathroom.","October 05, 2020"
44,434,Edhi,Indonesia,Couple,Superior Twin,Stayed 1 night in July 2020,9.2,Exceptional,Exceptional,"Going to Cirebon for some business things, we choose Santika. One stop service for your staycation.","August 18, 2020"
44,435,Diah,Indonesia,Family with young children,Superior Twin,Stayed 1 night in August 2020,7.6,Very good,Good,All good,"August 11, 2020"
44,436,Inne,Indonesia,Family with teens,Superior Twin,Stayed 1 night in January 2025,9.6,Exceptional,Nyamannya menginap di Santika Hotel Cirebon,"Lokasi hotel ditengah kota sangat strategis, dekat dengan pusat perbelanjaan, rumah sakit, transportasi umum, perkantoran. Kebersihannya terjaga dengan baik. Fasilitas kamar cukup lengkap : shower air panas & dingin, toiletries, mini bar, notes & pinsil. Fasilitas hotel cukup lengkap : gym, kolam renang, resto, wifi, tempat parkir luas. Keistimewaan yg berbeda dgn hotel lain, setiap pagi mobil kami sudah kinclong dibersihkan oleh staf hotel 👍🏻👏🏻 Ini kali kedua kami menginap di Santika Hotel Cirebon. Saran : varian menu makanan sarapan pagi tolong ditambah 😊 Terimakasih","January 24, 2025"
