page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
16,80,Vivi,Indonesia,Group,Superior Room Twin,Stayed 1 night in May 2024,10.0,Exceptional,TOURING,Nice room and facilities,"May 12, 2024"
17,81,Amelia,Indonesia,Family with young children,Superior Room Queen,Stayed 1 night in May 2024,9.6,Exceptional,Exceptional,Hotelnya bersih. Baru renov. Worth dibanding kamar suite hotel C disebelahnya,"May 11, 2024"
17,82,Faza,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2024,10.0,Exceptional,Makanannya Rekomen banget!,"Salah satu yang bikin balik lagi kalo perlu stay ke tasik karena HS makanannya enak banget, worth it dan kamarnya luas dibanding hotel lain dengan type room yang sama, thankyou HS","May 08, 2024"
17,83,Ratih,Indonesia,Group,Deluxe Room Queen,Stayed 1 night in January 2024,10.0,Exceptional,Exceptional,It’s a nice place to stay,"May 08, 2024"
17,84,M,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2024,10.0,Exceptional,Exceptional,Good,"May 02, 2024"
17,85,Muhammad,Brunei Darussalam,Family with teens,Superior Room Queen,Stayed 2 nights in April 2024,8.8,Excellent,Excellent budget Hotel,"Our stay at this hotel was truly delightful. Nestled in a prime location, it offers convenient access to Alfa/Indo Mart, positioned between the vibrant districts of Tanah Abang and Grand Indonesia Mall. While the breakfast options were somewhat limited, considering the price, it's difficult to fault. Overall, it's an outstanding choice for those seeking an affordable yet excellent hotel experience.","April 30, 2024"
18,86,Aan,Indonesia,Family with young children,Superior Room Queen,Stayed 3 nights in April 2024,9.6,Exceptional,Menginap di HS menjelang Idul Fitri,"Kamar nya bersih, tapi jika menaruh makanan di mejanya gampang di semutin. Petugas hotel ramah, pelayanannya bagus.","April 09, 2024"
18,87,ibnu,Indonesia,Couple,Superior Room Twin,Stayed 1 night in September 2023,9.6,Exceptional,Exceptional,Ok,"April 02, 2024"
18,88,Janitra,Indonesia,Group,Superior Room Twin,Stayed 1 night in January 2024,10.0,Exceptional,Very Good,Very good for the price,"February 22, 2024"
18,89,Rahmad,Indonesia,Business traveler,Superior Room Twin,Stayed 1 night in October 2023,8.0,Excellent,Ok,Good,"February 18, 2024"
