page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
33,174,Raudhoh,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada Agustus 2022,"9,2",Spektakuler,Staycation ternyaman,"Tempat strategis, klo bosan tinggal ke Mall",
33,175,Rushartati,Indonesia,Keluarga dengan anak dewasa,Kamar Superior Twin,Menginap 1 malam pada Agustus 2022,"10,0",Spektakuler,Santika bekasi good,B’fast nya banyak variasi nya. Dan enak,
34,176,Desi,Indonesia,Rombongan,Kamar Superior Twin,Menginap 1 malam pada Agustus 2022,"9,6",Spektakuler,Good,"Pelayanannya ramah, kamarnya oke dan bersih. Breakfast juga lmyn enak enak. Cm tempatnya aja kurang strategis. Overall okay 🙂",
34,177,anisa,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada Februari 2022,"6,0",,Di Atas Rata-Rata,Strategis dan cukup bersih,
34,178,Ernita,Indonesia,Wisatawan tunggal,Kamar Queen Deluxe,Menginap 1 malam pada Juli 2022,"9,6",Spektakuler,Spektakuler,"Semua fasilitas lengkap, kecuali kulkas kecil tapi ga masalah, agak sedikit berisik dari luar ruangan ntah karna mesin atau karna dekat dengan jalan raya jadi sedikit menganggu tidur.",
34,179,Listya,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Juli 2022,"7,2",Sangat baik,Sangat baik,"Makanan enaak, staff ramah dan helpful, kamar cukup bersih. Chanel tv beda2 tiap kamar, ada yg kurang lengkap. Yang sangaat menganggu ada lah live music yg kenceng bgt sampe kamar dari jam 7-10 malam. Semoga hanya pas weekend saja",
34,180,mitha,Indonesia,Pasangan,Superior Double,Menginap 1 malam pada Juli 2022,"9,2",Spektakuler,Liburan,Staf ramah menu makanan banyak pilihan.,
35,181,Novita,Indonesia,Keluarga dengan anak dewasa,Kamar Superior Twin,Menginap 1 malam pada Juni 2022,"10,0",Spektakuler,Hotel Bagus dan Nyaman,"Hotelnya bagus, bersih, dan nyaman. Pekerjanya baik dan ramah. Minusnya kunci yang diberikan hanya 1. Jadi ketika suami saya belum masuk kamar (mempersiapkan kegiatan di hall), saya harus menunggu sampai malam agar suami bisa masuk kamar.",
35,182,Dwi,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Juni 2022,"10,0",Spektakuler,Spektakuler,Mantap,
35,183,Agus,Indonesia,Rombongan,Kamar Queen Superior,Menginap 1 malam pada Mei 2022,"8,0",Luar biasa,Sangat baik,sayang kulkas mini bar tidak tersedia,
35,184,Doni,Indonesia,Keluarga dengan anak kecil,Kamar Queen Deluxe,Menginap 1 malam pada Mei 2022,"10,0",Spektakuler,Spektakuler,Lokasi strategis dekat ke beberapa mall dan dekat pintu tol,
35,185,Adhitya,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada Mei 2022,"6,8",Bagus,Bagus,"Kamar lumayan tp pintu kamar mandinya susah untuk ditutup. Sarapan tidak hangat jd kurang fresh, untuk rasa juga biasa aja.",
36,186,vina,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Mei 2022,"8,4",Luar biasa,Tempat ok,"Ok,bgt tempatnya tp untuk,breakfast ternyata umur 4 thn ke atas hrs byr ditempat..sebaiknya sblmnya hrsnya konfirmasi dahulu",
36,187,yuli,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Mei 2022,"10,0",Spektakuler,Ok,Ok,
36,188,Rizky,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Mei 2022,"7,6",Sangat baik,Sangat baik,Kamar ok cuma agak berdebu ya...sama varian menu untuk breakfast sedikit...tidak ada salad dan white toast padahal menurut saya itu wajid di breakfast...,
