ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review
REV-000054,Agoda,Hotel Santika Bandung,2025-07-08,"The hotel is clean with well-maintained facilities. What truly stands out is the excellent service — from the bellman, reception, to the F&B team, every staff member was genuinely welcoming and professional. While the furniture and bathrooms could use some upgrading to match the hotel’s strengths in other areas, overall it was a pleasant and commendable stay."
REV-000055,Agoda,Hotel Santika Bandung,2025-07-08,"An old hotel but comfortable to stay in. It feels homey, the lobby and restaurant make you feel at home. There are free bike facilities. I used it with my two kids to go around the area, visiting the nearest satay and factory outlet, wandering around. Comfortable and strategic. The breakfast is so-so, with a fairly complete selection of traditional food. Bakery, savory snacks, espresso machine coffee, sticky rice porridge, noodles, and a complete salad are available. The room is clean and the TV is okay, big. We should have stayed here for 2 nights. It's close to a supermarket, Martadinata. Good for hanging out, BIP. Next time we will come back here again. The price happens to be cheap on weekdays. Weekends are still standard... Thank you, Santika. The staff is friendly."
REV-000056,Agoda,Hotel Santika Bandung,2025-07-05,The staff we encountered were wonderful including the General Manager whom approached us in the lobby to have a chat about our time in Bandung. Very good value and we always love staying at Santika properties for this reason.
REV-000057,Agoda,Hotel Santika Bandung,2025-06-30,Always satisfied staying here. Really nice bed.
REV-000058,Agoda,Hotel Santika Bandung,2025-06-26,"I am comfortable staying at the JNJ hotel. Although I found the coffee to be lacking in flavor, when I requested a stronger coffee, the staff quickly provided it."
REV-000059,Agoda,Hotel Santika Bandung,2025-06-18,Semua fasilitas dan layanan staf OK ⭐️⭐️⭐️⭐️⭐️
REV-000060,Agoda,Hotel Santika Bandung,2025-06-15,"Always comfortable staying at this hotel, prime location surrounded by shopping centers and food. The hotel service and rooms are very good. The rooms are spacious and clean. A diverse and delicious breakfast. There is no doubt in choosing Santika Jalan Sumatera as a choice when staying in Bandung. ⭐️⭐️⭐️⭐️⭐️"
REV-000061,Agoda,Hotel Santika Bandung,2025-06-11,Value for money. Although a bit old but wel maintained and good location
REV-000062,Agoda,Hotel Santika Bandung,2025-06-04,"Hotel dengan bangunan klasik dan vintage yang berlokasi di pusat kota Bandung. Untuk lokasi tidak perlu diragukan lagi karena sangat strategis. Bangunan hotel sudah cukup berumur dengan interior di dalamnya termasuk kamar yang sudah cukup outdated dan perlu segera ada refurbishment. Tapi overall kualitas tempat tidur, bantal dan duvet tetep oke punya. Kebersihannya pun juga cukup terjaga dengan baik. AC rasanya kurang dingin karena menggunakan pengaturan AC model lama, untungnya kota Bandung by default kalo malam cukup sejuk udaranya. Overall oke banget menginap di sini dengan harga yang reasonable pula sudah termasuk sarapan."
REV-000063,Agoda,Hotel Santika Bandung,2025-06-01,Stayed here for 1 night but one thing for sure is this hotel is value for money and have a good food for breakfast!!!
REV-000064,Agoda,Hotel Santika Bandung,2025-05-25,Need to be renovated too old get a healthy environment as the place is rundown
REV-000065,Agoda,Hotel Santika Bandung,2025-05-14,"Letaknya strategis, semua staf ramah, ruangan sangat besar (saya menginap di kamar executive). Dan surprise juga pas diinfo saat cek in kalau sudah dapat paket makan malam dan sarapan. Makananya lumayan enak."
REV-000066,Agoda,Hotel Santika Bandung,2025-05-10,"Staffs are very attentive, never let us carry our luggages to and from grab to our rooms. Able to attend to our request every time. Great location and a lot of eateries nearby."
REV-000067,Agoda,Hotel Santika Bandung,2025-05-08,"I recently stayed at Hotel Santika Bandung. As usual, Santika maintains its reputation as a long-established hotel with well-maintained facilities and a comfortable atmosphere. The breakfast menu was quite good and offered a nice variety of options. However, I was a bit disappointed this time. I had booked a room with one large bed, but was given two single beds pushed together instead, which affected the overall comfort of the stay."
REV-000068,Agoda,Hotel Santika Bandung,2025-05-04,"Santika group is one of my favorite hotel to stay in Indonesia. Great location, helpful staff, clean n big room, complete n nice breakfast and affordable price."
REV-000069,Agoda,Hotel Santika Bandung,2025-05-02,"I love the ambiences, friendly staf, close to the legend shopping mall and good sleep. One thing annoy me is the (not sure) the bird or bat dropping in hall area. It look like drop thing but I'm not sure, hopefully next visit that mark get clean"
REV-000070,Agoda,Hotel Santika Bandung,2025-04-22,Food was great the staff was helpful the room was nice just some furniture need to replace
REV-000071,Agoda,Hotel Santika Bandung,2025-04-21,Sangat recomend bagi yg ingin dekat kemana-mana di Bandung
REV-000072,Agoda,Hotel Santika Bandung,2025-04-11,Best location and comfortable hotel to exploring Bandung City
REV-000073,Agoda,Hotel Santika Bandung,2025-04-11,"Always happy to stay at Hotel Santika Bandung, the staff is friendly and good in service. The rooms are clean, with complete facilities. The location is surrounded by shopping centers and food. The breakfast is complete, varied, and also delicious. I never get tired of staying here."
REV-000074,Agoda,Hotel Santika Bandung,2025-04-07,"Lokasi strategis, dekat pusat perbelanjaan. Kamar nyaman. Staf ramah. Makanan enak."
REV-000075,Agoda,Hotel Santika Bandung,2025-04-06,"Staying here for 3 nights is very strategic, there are many food streets around but because of Eid, many are closed. The room is clean and comfortable, the AC and hot water work well, breakfast is varied, and the staff is very friendly from the entrance to housekeeping."
REV-000076,Agoda,Hotel Santika Bandung,2025-04-05,"This hotel accommodation is suitable for families who enjoy tranquility; the place is cool and quiet. The standard facilities do not include a hair dryer, and it is close to the BIP mall and Riau Junction. Just a suggestion, please add more options to the breakfast menu. Thank you :)"
REV-000077,Agoda,Hotel Santika Bandung,2025-03-28,Just in the middle between town and airport.
REV-000078,Agoda,Hotel Santika Bandung,2025-03-23,Nice food & near shopping complex
REV-000079,Agoda,Hotel Santika Bandung,2025-03-22,"Suasana hotel & lokasi sudah cocok di santika depan riau junction, tapi sayang kasur sudah kurang layak di kamar superior, per kawat lemah jadi badan miring2 sulit tidur, tolong diganti baru ga perlu kasur mewah, cukup standar hotel, untuk parkiran tolong diperbaiki bocoran air plafon buat cat mobil susah hilang bekasnya, sarang kelelawar & kotoran klo bisa dibersihkan jg, trims"
REV-000080,Agoda,Hotel Santika Bandung,2025-02-28,"The hotel is old but very strategic, the service is excellent, check-in is easy and fast, the sheets and towels are clean and fragrant, all toiletries are available, only the bathroom floor is a bit dirty, the breakfast is delicious with a lot of variety."
REV-000081,Agoda,Hotel Santika Bandung,2025-01-31,Good value for money
