page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber
36,5,Ananda Restu widi,12 November 2024,Trip Keluarga,"5,0",Saya akan mengunjungi tempat itu lagi.,Ulasan terverifikasi dari tiket.com
37,1,Nurul Huda Sri Handayani,11 November 2024,Perjalanan Bisnis,"5,0",Menjadi prioritas pilihan bila ada tugas ke cirebon. Semua staf ramah. Dkt ke mn2. Breakfast lezat. Suasana tenang untuk keluarga.,Ulasan terverifikasi dari tiket.com
37,2,Fatriz Fatriz,9 November 2024,Perjalanan Bisnis,"5,0",Tempat duduk nyaman. Rapi dan bersih.,Ulasan terverifikasi dari tiket.com
37,3,Dinar Nurfadzniar,5 November 2024,Trip Keluarga,"3,4",Fasilitasnya cukup memadai,Ulasan terverifikasi dari tiket.com
37,4,NK,5 November 2024,Trip Keluarga,"3,8",Fasilitas parkir nyaman banget. Ada pusat kebugaran.,Ulasan terverifikasi dari tiket.com
37,5,PS,4 November 2024,Perjalanan Sendirian,"5,0","Lokasi strategis dan fasilitas ok, sarapan enak dam lumayan lengkap",Ulasan terverifikasi dari tiket.com
39,5,Theresia Aprillia simanjuntak,30 September 2024,Trip Pasangan,"5,0",Lingkungan sekitar bersih. Suasana nyaman. Fasilitas kolam sangat estetik.,Ulasan terverifikasi dari tiket.com
40,1,Raditya Nursasongko,26 September 2024,Trip bareng Teman,"5,0",konsep warisan khusus,Ulasan terverifikasi dari tiket.com
40,2,Ayu Purnamasari,25 September 2024,Trip Keluarga,"5,0","Good Tatanan ruang sangat bagus. Kamar nyaman, cocok untuk keluarga.",Ulasan terverifikasi dari tiket.com
40,3,ADALAH,23 September 2024,Trip Keluarga,"4,0","Perabotan kamar berkualitas. Suasana pagi yang cerah sejuk, buka pintu view gunung, buka jendela view swim pool kebawah",Ulasan terverifikasi dari tiket.com
40,4,Eru Suparto,23 September 2024,Perjalanan Sendirian,"5,0",Lobby elegan. Udara segar dan tersanitasi.,Ulasan terverifikasi dari tiket.com
40,5,Eka Destarika Dawn,21 September 2024,Trip Keluarga,"5,0","Lokasi dekat mall grage, banyak kuliner sekitar, ada kolam renang besar dan buat anak, sarapan makananya enak banyak menu",Ulasan terverifikasi dari tiket.com
41,1,DAN,19 September 2024,Perjalanan Bisnis,"5,0",Kebersihan terjaga sangat baik. Parkir dengan pengawasan baik. Diskon kalau pesan jauh hari.,Ulasan terverifikasi dari tiket.com
41,2,Diah Anggraeni,17 September 2024,Trip Keluarga,"4,0","Lingkungan sangat bersih terjaga. Hotel murah, pengalaman tak terlupakan. Sarapan pagi nya enak semua.",Ulasan terverifikasi dari tiket.com
41,3,Hans Julian Chyller Makabori,15 September 2024,Perjalanan Bisnis,"5,0",Kebersihan yang tak tertandingi. Kamar mandi bersih.,Ulasan terverifikasi dari tiket.com
