page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber
203,1,MJ,6 Dec 2018,Perjalanan Bisnis,"5,0","Kamar luas, bersih, sarapan variasi menu banyak dan yang paling saya suka adanya makanan khas cirebon, pelayanan memuaskan dan harganya sesuai dengan fasilitas dan pelayanan.",Verified review from tiket.com
203,2,zakaria zamrudioko sumantoro,5 Dec 2018,Trip Keluarga,"4,6","Kamarnya lega, kolam renangnya luas dan nyaman.. brekafastnya enak, lokasi strategis dan parkirannya luas..",Verified review from tiket.com
203,3,MH,27 Nov 2018,Lainnya,"4,0",Breakfastnya juaralah....,Verified review from tiket.com
203,4,Verified traveler,22 Nov 2018,,"4,0",The only problem was that I got inundated by mosquitos while eating dinner.,Verified review from Expedia
203,5,Ranthie Dwinta Oentari,7 Nov 2018,Trip Pasangan,"5,0","Sangat puas, pegawai ramah semuanya",Verified review from tiket.com
204,1,Xiong,1 Sep 2018,,"5,0","Very good swimming pool and music on weekend, also with traditional drink. I like this hotel.",Verified review from Expedia
204,2,Cindy,4 Aug 2018,Trip Keluarga,"5,0",Good Stay,Verified review from Expedia
204,3,Djay. W,16 May 2018,Lainnya,"4,0",Overall great... sangat nyaman berada di hotel ini. Karyawan yang professional. makanan yang enak. tetapi saya rasa tempat kebugaran perlu di perbaiki.,Verified review from tiket.com
204,4,Goenawan Restu,12 Apr 2018,Lainnya,"4,0",Kami menyukai tinggal di Santika Cirebon setiap kali mengunjungi Cirebon. Atsmophere sekitarnya sangat alami dan cukup. Orang-orangnya sangat welcome untuk pelayanan yang siap setiap saat.,Verified review from tiket.com
204,5,abdul khaliq,11 Apr 2018,,"4,0",The location is very convenient and very friendly staff,Verified review from Expedia
205,1,Bogik. K,30 Mar 2018,Lainnya,"4,0",Menurut saya hotel ini hotel yang terbaik di cirebon. fasilitas lengkap. Makanan lezat dengan berbagai menu yang di sediakan. pelayanan ramah dan juga cepat.,Verified review from tiket.com
205,2,Verified traveler,22 Jan 2018,,"4,0",到着した際に感じるホテルの雰囲気が歴史を感じさせる、高級感の漂う良いホテルだと思います。 従業員の皆さんの笑顔が素晴らしく、フロントの方々の対応も最高でした！,Verified review from Expedia
205,3,Anonymous,16 Jan 2018,Lainnya,"4,0","Very recomended untuk weekend Gateway ke Cirebon. Hotel luas, kamar nyaman, service ok, pool besar, breakfast enak dan banyak pilihan menu, lokasi di tengah kota jadi gampang kemana2 :)",Verified review from tiket.com
205,4,joop,7 Jan 2018,,"4,0","Zoals de meeste hotels van Santika zag deze er ook mooi uit bij binnenkomst. Goede ontvangst, vriendelijk doch zakelijk.",Verified review from Expedia
205,5,Anggi wardahani,7 Aug 2017,Lainnya,"4,0",Kami datang bersama keluarga. hotel ini sangat nyaman dengan pelayanan yang sangat baik dan dekorasi ruangan yang cukup bagus. saya suka berkeliling di sekitar hotel karena mempunyai pemandangan bangunan kuno dan saya suka foto di sana. Lihat lebih sedikit,Verified review from tiket.com
206,1,Verified traveler,13 Jul 2017,,"4,0","The hotel is a bit old and need to be renovate, the breakfast is good and the hotel looks like a resort.",Verified review from Expedia
206,2,Anonymous,12 Jul 2017,Lainnya,"4,0","Saya menginap tanggal 30 april 2016 satu malam. Ketika sampai, kami ingin menukar kamar dengan conecting door. Dengan sigap tim front desk mempersiapkannya. Nice service. Breakfast yang sangat bervariasi dan sangat enak. Dekat dengan tempat makan sekitar. Kolam renang yang bersih dan airnya hangat. Sayang saja tidak ada pembatas antara kolam dangkal dan dalam. Agak khawatir jika anak2 tidak diawasi pada saat berenang.Lihat lebih sedikit",Verified review from tiket.com
206,3,Achmad Nur Hidayat,4 Jul 2017,Lainnya,"4,0","Seblum nya saya memesan tiket larc n ciel di tiket.com, dan kedua kalinya saya memesan untuk Santika cirebon, dan saya mendapatkan harga yang terbaik. dengan fasilitas hotel dan pelayanan yang baik pula. tidak ada hotel lain di cirebon sengan fasilitas dan pelayanan seperti santika. thanks tiket n santika. Lihat lebih sedikit",Verified review from tiket.com
206,4,Vikram . S,19 May 2017,Lainnya,"4,0","great staff, Love pool, Kind of food.. love to see kids have fun at the pool",Verified review from tiket.com
206,5,rajis,15 May 2017,,"3,0",فندق اقيمه 6 من 10,Verified review from Expedia
207,1,Steve,4 Jan 2017,,"4,0","Hotel santika cirebon sudah beroperasi dari lama, tapi kondisi masih sempurna dan terawat. Fasilitas lengkap dan ok. Makanan agak berminyak, kolam renang bersih. Sangat cocok untuk business trip atau family trip. Proses check in hanya 5 menitLihat lebih sedikit",Verified review from Expedia
207,2,Verified traveler,24 Aug 2016,,"5,0",Good hotel at Good location! Good hospitality upon arrival!,Verified review from Expedia
207,3,Tri,7 Jan 2016,Trip Keluarga,"4,0","ini pengalaman pertama saya booking hotel lewat online, ternyata mudah dan menyenangkan, karena biasanya booking langsung ke hotel by phone, jd saat check in dan out perlu waktu, namun dengan online sangat cepat dan praktis.....jadi pengen traveling lagiLihat lebih sedikit",Verified review from Expedia
207,4,Verified traveler,10 Dec 2015,Trip Keluarga,"4,0",Menyenangkan. Cocok untuk keluarga yang mempunyai anak-anak kecil.,Verified review from Expedia
207,5,Aswian Nur,22 Apr 2014,,"4,0","Pelayanan sejak tiba, selama hingga meninggalkan hotel memuaskan. Wi-Fi mantap, sangat membantu saat bekerja Online..... Lokasi dekat dengan pusat kota, dimana terdapat Mall dan Entertainment... I love it.....Lihat lebih sedikit",Verified review from Expedia
208,1,Verified traveler,15 May 2013,,"4,0","Ini kali kedua saya menginap di Santika Cirebon. Yang pertama liburan bersama keluarga, dan yang kali ini adalah kunjungan bisnis. Pelayanan baik dan ramah. Kualitas kamar cukup baik. Kamar mandi terpelihara dengan baik, air panas dan air dingin berfungsi sempurna. Fasilitas olahraga termasuk cukup, walau untuk gym nya masih bisa dilakukan beberapa perbaikan. Lokasi hotel menurut saya cukup strategis. Secara keseluruhan, hotel ini bagus untuk liburan keluarga maupun berbisnis. Satu catatan, egg station untuk sarapan sudah lebih baik dibandingkan kunjungan di bulan Desember 2012, walau masih bisa diperbaiki lagi.Lihat lebih sedikit",Verified review from Expedia
